"userid","id","from_visit","to_visit","place_id","visit_date","visit_type","session","mobile","mobile_ime","ipaddress","latitude","longitude","url_link","network","device","browse1","browse2","visit_count","social","up_count","down_count","web_qry","level","percent"
"BAB50-C0DD-3523D",1,"9:43","10:7",24,"2021-12-05",10,21,"6680325694","349032824488688","192.237.1.145","10.2804","80.2965","https://uva.onlinejudge.o rg/","Airtel",2,"Internet Explorer","Internet Explorer",37,"Twitter",31,6,"avalilable engineering colleges in pondicherry","Moderate",41.8103448275862
"CA6ED-7B1B-57A4F",2,"18:20","19:3",23,"2021-12-06",4,11,"7891269199","757193652955976","192.117.111.167","11.5637","79.6442","https://www.w3schools.com /html/tryit.asp?filename= tryhtml5_geolocation","Airtel",1,"Opera","Safari (in-app)",31,"Facebook, Instagram",47,44,"web technologies","Moderate",43.4977578475336
"4020A-B6A7-FAA55",3,"2:22","2:49",10,"2021-12-05",8,35,"6263256529","764701507641452","192.225.206.201","10.8846","77.7561","https://zenodo.org/record /56198#.WpsHzHxxXIV","BSNL",2,"Safari","Safari (in-app)",34,"Whatsapp",1,19,"today news in tamilnadu","Moderate",44.6511627906977
"C7520-836C-A1472",4,"4:22","5:19",22,"2021-11-30",3,18,"6595035885","858167612619769","192.251.165.63","10.8584","77.1249","https://csacademy.com/con test/round-68/","Jio",1,"Internet Explorer","BlackBerry",47,"Facebook, Instagram, LinkedIn",5,4,"marketing agencies","Moderate",41.3145539906103
"83FEF-5CDB-E7FFD",5,"3:13","4:6",11,"2021-12-06",6,17,"6518457740","964635411881574","192.104.82.38","10.5440","80.7493","http://codeforces.com/con tests/with/Rezwan.Arefin0 1","Vodafone",1,"Safari","BlackBerry",63,"Facebook, Youtube",16,44,"cancer speciality hospitals in tamilnadu","Yes",37.10407239819
"CA6ED-7B1B-57A4F",6,"16:40","17:19",17,"2021-11-28",5,11,"7891269199","757193652955976","192.100.14.155","11.6670","78.7459","https://web.facebook.com/ groups/pxperts/","Jio",2,"Internet Explorer","BlackBerry",64,"Twitter, Youtube",27,45,"online game","Moderate",43.4977578475336
"1458A-BF33-B8424",7,"2:48","3:22",3,"2021-12-02",13,31,"8378841539","758568075794728","192.135.105.62","10.3340","77.8034","http://codeforces.com/pro file/Rezwan.Arefin01","BSNL",2,"Chrome","Android Browser",51,"Whatsapp, Google, LinkedIn",29,24,"villege complaints","Yes",37.2641509433962
"83FEF-5CDB-E7FFD",8,"19:53","20:33",13,"2021-12-04",7,38,"6518457740","964635411881574","192.173.28.162","10.9445","78.4209","https://gfycat.com/upload /results","Jio",3,"Internet Explorer","UC Browser",35,"Facebook, Google, TikTok",24,40,"kids shopping","Yes",37.10407239819
"3C431-0504-8BB6C",9,"4:29","4:49",15,"2021-11-28",1,34,"7644983122","923974685319478","192.130.143.101","11.5973","79.5172","http://www.taremeparadise .com/","Airtel",3,"Opera","BlackBerry",34,"Twitter, Instagram, Snapchat",35,25,"taremeparadise","Yes",37.4449339207048
"E56CD-C315-7CC77",10,"15:40","16:35",18,"2021-11-30",1,32,"6504744692","309982927235824","192.246.47.45","10.2406","77.5764","http://www.geocities.com/ roryheadmav/main.html","BSNL",2,"Firefox","Android Browser",33,"Facebook, Instagram, TikTok",42,10,"roryheadmav","Yes",31.4159292035398
"C7520-836C-A1472",11,"9:55","10:16",12,"2021-11-27",7,26,"6595035885","858167612619769","192.63.231.201","11.9448","77.9210","https://web.facebook.com/ search/str/shatil+ahmed/k eywords_search","Vodafone",1,"Opera","UC Browser",38,"Facebook, Youtube, Snapchat",28,8,"online ebooks","Moderate",41.3145539906103
"3C431-0504-8BB6C",12,"20:20","20:32",2,"2021-12-05",8,10,"7644983122","923974685319478","192.242.109.111","10.7185","80.8292","https://www.youtube.com/r esults?search_query=assem bly+multiply+two+numbers+","Jio",2,"Safari","Chrome",39,"Facebook, Youtube, TikTok",14,17,"today news in tamilnadu","Yes",37.4449339207048
"83FEF-5CDB-E7FFD",13,"16:53","17:48",2,"2021-11-28",6,15,"6518457740","964635411881574","192.69.205.69","10.4919","80.5004","https://www.udemy.com/car t/success/127949646/","Vodafone",2,"Firefox","Internet Explorer",41,"Twitter, Google, TikTok",22,24,"heart speciality hospitals in tamilnadu","Yes",37.10407239819
"42373-2D80-364D0",14,"2:25","2:46",9,"2021-12-06",3,17,"6826592916","551609031324661","192.28.115.6","11.7811","79.3745","https://www.udemy.com/car t/success/127949670/","Airtel",3,"Firefox","Internet Explorer",42,"Whatsapp, Instagram",15,8,"online shopping ","Yes",34.1463414634146
"BAB50-C0DD-3523D",15,"11:6","11:59",21,"2021-12-03",1,34,"6680325694","349032824488688","192.23.180.35","10.6089","77.5547","http://www.worldshaking.n et/","BSNL",1,"Chrome","Safari (in-app)",43,"Twitter",39,21,"worldshaking","Moderate",41.8103448275862
"3C431-0504-8BB6C",16,"20:40","21:5",10,"2021-12-06",13,18,"7644983122","923974685319478","192.67.164.131","10.7237","79.1176","https://forum.floydhub.co m/t/how-to-use-floyd-cli- when-your-computer-is-beh ind-a-proxy/87/2","Jio",3,"Internet Explorer","Safari (in-app)",34,"Facebook",43,27,"villege complaints","Yes",37.4449339207048
"CA6ED-7B1B-57A4F",17,"3:24","4:9",20,"2021-12-06",6,16,"7891269199","757193652955976","192.112.150.135","10.2840","79.5424","https://www.coursera.org/ notifications","BSNL",2,"Chrome","Chrome",32,"Whatsapp, Youtube",36,48,"cancer speciality hospitals in tamilnadu","Moderate",43.4977578475336
"83FEF-5CDB-E7FFD",18,"5:24","6:23",3,"2021-12-03",8,16,"6518457740","964635411881574","192.81.22.113","11.8722","78.1742","https://www.diffchecker.c om/diff","Airtel",2,"Safari","UC Browser",33,"Facebook, Google",9,17,"rain news in tamilnadu","Yes",37.10407239819
"E56CD-C315-7CC77",19,"11:30","11:56",14,"2021-12-01",7,29,"6504744692","309982927235824","192.7.248.142","11.2723","77.5373","http://www.everythingai.c o.in/2018/01/27/introduct ion-tensorflow-beginners/ #more-214","Jio",2,"Firefox","Android Browser",57,"Twitter, Youtube",41,47,"online ebooks","Yes",31.4159292035398
"4020A-B6A7-FAA55",20,"21:31","21:50",10,"2021-11-28",3,25,"6263256529","764701507641452","192.81.222.251","10.1152","79.8800","http://www.mrtechmyth.net /udemy-increase-youtube-v iews-100-off-coupon-code/","Jio",3,"Internet Explorer","Internet Explorer",33,"Whatsapp",39,36,"youtube channel earnings","Moderate",44.6511627906977
"42373-2D80-364D0",21,"11:56","12:20",16,"2021-11-28",13,39,"6826592916","551609031324661","192.38.186.217","11.2036","77.9591","https://forum.floydhub.co m/t/how-to-use-floyd-cli- when-your-computer-is-beh ind-a-proxy/87/2","Jio",1,"Safari","BlackBerry",42,"Twitter",14,2,"villege complaints","Yes",34.1463414634146
"C7520-836C-A1472",22,"17:50","18:46",5,"2021-11-30",13,25,"6595035885","858167612619769","192.30.204.210","11.1513","79.9595","https://cracksfind.blogsp ot.com//2017/10/winedt-10 -2-crack.html","Jio",3,"Opera","Internet Explorer",68,"Twitter",49,39,"villege complaints","Moderate",41.3145539906103
"83FEF-5CDB-E7FFD",23,"2:38","3:27",21,"2021-11-30",12,32,"6518457740","964635411881574","192.98.106.137","10.8938","77.4311","https://www.udebug.com/pr oblem-category","Vodafone",1,"Opera","UC Browser",69,"Facebook, Youtube, Snapchat",25,40,"flipkart","Yes",37.10407239819
"CC4FB-160A-5C245",24,"2:27","3:22",23,"2021-12-04",12,37,"8905366896","111473011332166","192.165.174.226","11.6971","79.5648","https://www.youtube.com/w atch?v=Oi6pmLgi2lc","BSNL",3,"Chrome","Internet Explorer",37,"Facebook, Instagram, TikTok",22,32,"online shopping ","Yes",37.1980676328502
"1458A-BF33-B8424",25,"14:56","15:40",4,"2021-12-06",7,35,"8378841539","758568075794728","192.222.143.72","11.7706","80.3019","https://www.youtube.com/w atch?v=JIflY5NfoBU","BSNL",3,"Safari","BlackBerry",32,"Facebook, Google",16,35,"online ebooks","Yes",37.2641509433962
"BAB50-C0DD-3523D",26,"5:2","5:45",7,"2021-11-29",1,17,"6680325694","349032824488688","192.68.196.127","10.3715","77.5094","http://www.geocities.com/ shinji_is_my_man/","BSNL",2,"Internet Explorer","Internet Explorer",55,"Twitter",3,26,"shinji is my man","Moderate",41.8103448275862
"1458A-BF33-B8424",27,"16:34","16:53",9,"2021-11-30",7,29,"8378841539","758568075794728","192.186.114.167","11.8436","78.6525","https://web.facebook.com/ search/str/shatil+ahmed/k eywords_search","BSNL",2,"Safari","Android Browser",40,"Whatsapp, Youtube",2,45,"online ebooks","Yes",37.2641509433962
"CC4FB-160A-5C245",28,"5:14","5:38",14,"2021-12-01",12,29,"8905366896","111473011332166","192.90.77.189","10.7360","79.1843","https://www.youtube.com/w atch?v=Oi6pmLgi2lc","Jio",1,"Opera","Chrome",58,"Whatsapp, Youtube, LinkedIn",45,44,"online shopping ","Yes",37.1980676328502
"4020A-B6A7-FAA55",29,"21:31","22:22",11,"2021-11-27",1,26,"6263256529","764701507641452","192.168.214.251","10.6818","80.3548","http://www.taremeparadise .com/","Vodafone",2,"Chrome","BlackBerry",69,"Whatsapp",49,29,"taremeparadise","Moderate",44.6511627906977
"BAB50-C0DD-3523D",30,"15:13","15:44",3,"2021-12-03",8,24,"6680325694","349032824488688","192.244.2.254","11.5538","79.8648","https://www.youtube.com/w atch?v=gwVO5qtA85M","Jio",3,"Firefox","BlackBerry",68,"Twitter, Instagram, LinkedIn",6,50,"polimer news live","Moderate",41.8103448275862
"4020A-B6A7-FAA55",31,"4:37","5:18",3,"2021-12-04",1,15,"6263256529","764701507641452","192.91.40.209","11.5668","77.8919","http://www.worldshaking.n et/","Jio",2,"Firefox","UC Browser",45,"Whatsapp",0,14,"worldshaking","Moderate",44.6511627906977
"CA6ED-7B1B-57A4F",32,"13:40","14:14",24,"2021-12-02",1,37,"7891269199","757193652955976","192.146.11.3","11.1018","80.6243","http://www.angelfire.com/ goth/doujinshi_rapture/","BSNL",2,"Opera","Android Browser",44,"Twitter, Google",49,31,"angelfire rapture","Moderate",43.4977578475336
"C7520-836C-A1472",33,"2:30","2:59",4,"2021-12-05",5,28,"6595035885","858167612619769","192.64.249.54","10.7679","80.2301","https://www.floydhub.com/ shawon100/projects/screen shot-to-code-in-keras/","Jio",1,"Chrome","BlackBerry",65,"Twitter",20,20,"villege complaints","Moderate",41.3145539906103
"C7520-836C-A1472",34,"21:9","21:55",23,"2021-12-03",1,15,"6595035885","858167612619769","192.250.221.186","10.7190","79.3236","http://www.hentai-comics. com/","BSNL",3,"Opera","Android Browser",35,"Twitter",7,41,"hentai comics","Moderate",41.3145539906103
"1458A-BF33-B8424",35,"5:2","5:23",8,"2021-11-27",1,37,"8378841539","758568075794728","192.162.25.6","10.5426","77.9798","http://www.geocities.com/ tokyo/courtyard/9155/caro smen.htm","Jio",1,"Firefox","Safari (in-app)",57,"Whatsapp, Instagram, Snapchat",13,35,"courtyard carosmen","Yes",37.2641509433962
"BAB50-C0DD-3523D",36,"1:28","2:14",23,"2021-11-27",5,13,"6680325694","349032824488688","192.69.130.25","11.1254","79.1001","https://www.floydhub.com/ login_callback","Jio",3,"Chrome","BlackBerry",55,"Facebook",25,1,"cricket training","Moderate",41.8103448275862
"1458A-BF33-B8424",37,"14:53","15:37",12,"2021-11-27",1,14,"8378841539","758568075794728","192.198.120.200","11.8568","79.5814","http://www.geocities.com/ can_it_be_sin/index_2.htm l","BSNL",2,"Chrome","Chrome",69,"Twitter, Youtube",19,22,"geocities can it be sin","Yes",37.2641509433962
